"Origin Station Complex Name","Destination Station Complex Name","Origin Station Complex ID","Destination Station Complex ID","Origin Point","Destination Point","avg_estimated_average_ridership"
"14 St (A,C,E)/8 Av (L)","Vernon Blvd-Jackson Av (7)","618","464","POINT (-74.002134 40.740335)","POINT (-73.953581 40.742626)","1.14313333333"
"Bay 50 St (D)","Flatbush Av-Brooklyn College (2,5)","70","359","POINT (-73.983765 40.588841)","POINT (-73.947642 40.632836)","0.29825"
"Canarsie-Rockaway Pkwy (L)","18 Av (F)","138","245","POINT (-73.90185 40.646654)","POINT (-73.976971 40.629755)","0.3146"
"Far Rockaway-Mott Av (A)","Central Park North (110 St) (2,3)","209","441","POINT (-73.755405 40.603995)","POINT (-73.951822 40.799075)","0.3465"
"215 St (1)","116 St (C,B)","297","154","POINT (-73.915279 40.869444)","POINT (-73.954882 40.805085)","0.8742"
"3 Av-149 St (2,5)","77 St (R)","434","37","POINT (-73.917757 40.816109)","POINT (-74.02551 40.629742)","0.6149"
"Lorimer St (M,J)","125 St (2,3)","99","439","POINT (-73.947408 40.703869)","POINT (-73.945495 40.807754)","0.36826666667"
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)","Rector St (R,W)","611","22","POINT (-73.987581 40.755746)","POINT (-74.013342 40.70722)","9.065"
"34 St-Hudson Yards (7)","5 Av/53 St (E,M)","471","276","POINT (-74.00191 40.755882)","POINT (-73.975224 40.760167)","4.22442"
"68 St-Hunter College (6)","New Lots Av (3)","399","352","POINT (-73.96387 40.768141)","POINT (-73.884079 40.666235)","0.30585"
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)","Beach 44 St (A)","624","206","POINT (-74.009552 40.712603)","POINT (-73.776013 40.592943)","0.3183"
"163 St-Amsterdam Av (C)","Canarsie-Rockaway Pkwy (L)","149","138","POINT (-73.939892 40.836013)","POINT (-73.90185 40.646654)","0.6587"
"Canal St (J,N,Q,R,W,Z,6)","Mets-Willets Point (7)","623","448","POINT (-74.00058 40.718701)","POINT (-73.845625 40.754622)","0.50923333333"
"7 Av (F,G)","New Utrecht Av (N)/62 St (D)","240","615","POINT (-73.980305 40.666271)","POINT (-73.996624 40.625657)","0.291"
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)","Middle Village-Metropolitan Av (M)","619","108","POINT (-73.995432 40.725606)","POINT (-73.889601 40.711396)","0.60556"
"Central Park North (110 St) (2,3)","Church Av (F,G)","441","243","POINT (-73.951822 40.799075)","POINT (-73.979678 40.644041)","0.288"
"Flatbush Av-Brooklyn College (2,5)","Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)","359","617","POINT (-73.947642 40.632836)","POINT (-73.977789 40.684162)","56.44348"
"E 143 St-St Mary's St (6)","Bedford-Nostrand Avs (G)","374","289","POINT (-73.907657 40.808719)","POINT (-73.953522 40.689627)","0.3045"
"161 St-Yankee Stadium (B,D,4)","Burnside Av (4)","604","384","POINT (-73.925741 40.82795)","POINT (-73.907684 40.853453)","12.54154"
"225 St (2,5)","63 Dr-Rego Park (M,R)","419","263","POINT (-73.860341 40.888022)","POINT (-73.861604 40.729846)","0.3217"
"57 St-7 Av (N,Q,R,W)","Clark St (2,3)","9","334","POINT (-73.980658 40.764664)","POINT (-73.993086 40.697466)","1.63173333333"
"7 Av (B,Q)","36 St (M,R)","41","272","POINT (-73.972367 40.67705)","POINT (-73.928781 40.752039)","0.894075"
"238 St (1)","72 St (1,2,3)","294","313","POINT (-73.90087 40.884667)","POINT (-73.98197 40.778453)","6.23994"
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)","Sutter Av (L)","624","134","POINT (-74.009552 40.712603)","POINT (-73.901975 40.669367)","0.45295"
"Lexington Av-53 St (E,M)/51 St (6)","Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)","612","611","POINT (-73.970487 40.75733)","POINT (-73.987581 40.755746)","42.67706"
"170 St (4)","82 St-Jackson Hts (7)","387","453","POINT (-73.917791 40.840075)","POINT (-73.883697 40.747659)","0.685525"
"Avenue J (Q)","Neck Rd (Q)","49","53","POINT (-73.960803 40.625039)","POINT (-73.955161 40.595246)","5.883975"
"Christopher St-Sheridan Sq (1)","Lexington Av (N,R,W)/59 St (4,5,6)","323","613","POINT (-74.002906 40.733422)","POINT (-73.967613 40.762593)","3.854625"
"34 St-Penn Station (A,C,E)","Gun Hill Rd (5)","164","444","POINT (-73.993391 40.752287)","POINT (-73.846384 40.869526)","0.4634"
"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)","Beach 98 St (A,S)","617","201","POINT (-73.977789 40.684162)","POINT (-73.820558 40.585307)","0.3205"
"116 St-Columbia University (1)","Sheepshead Bay (B,Q)","307","54","POINT (-73.96411 40.807722)","POINT (-73.954155 40.586896)","0.2898"
"Morgan Av (L)","Whitlock Av (6)","125","370","POINT (-73.933147 40.706152)","POINT (-73.886283 40.826525)","0.291"
"Classon Av (G)","Wall St (2,3)","290","333","POINT (-73.96007 40.688873)","POINT (-74.0091 40.706821)","1.07032"
"Bergen St (F,G)","Queens Plaza (E,M,R)","236","273","POINT (-73.990862 40.686145)","POINT (-73.937243 40.748973)","0.58366666667"
"Bergen St (F,G)","Bay Pkwy (D)","236","68","POINT (-73.990862 40.686145)","POINT (-73.993728 40.601875)","0.2898"
"Rockaway Blvd (A)","E 149 St (6)","192","373","POINT (-73.843853 40.680429)","POINT (-73.904098 40.812118)","0.2873"
"Jefferson St (L)","Hoyt St (2,3)","126","336","POINT (-73.922913 40.706607)","POINT (-73.985065 40.690545)","0.29625"
"Euclid Av (A,C)","E 180 St (2,5)","188","426","POINT (-73.872106 40.675377)","POINT (-73.873488 40.841894)","0.31475"
"Woodlawn (4)","Forest Hills-71 Av (E,F,M,R)","378","261","POINT (-73.878751 40.886037)","POINT (-73.844521 40.721691)","0.3327"
"Lexington Av (N,R,W)/59 St (4,5,6)","Eastern Pkwy-Brooklyn Museum (2,3)","613","341","POINT (-73.967613 40.762593)","POINT (-73.964375 40.671987)","0.40093333333"
"Elmhurst Av (M,R)","East 105 St (L)","266","137","POINT (-73.882017 40.742454)","POINT (-73.899485 40.650573)","0.72225"
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)","Bay Pkwy (N)","279","76","POINT (-73.807969 40.700486)","POINT (-73.981848 40.611815)","0.6213"
"183 St (4)","Wall St (4,5)","383","413","POINT (-73.903879 40.858407)","POINT (-74.011862 40.707557)","2.5108"
"145 St (1)","Houston St (1)","304","324","POINT (-73.95036 40.826551)","POINT (-74.005367 40.728251)","4.48536"
"86 St (C,B)","Hunters Point Av (7)","158","463","POINT (-73.968916 40.785868)","POINT (-73.948916 40.742216)","0.87275"
"Avenue X (F)","Wilson Av (L)","252","130","POINT (-73.97425 40.58962)","POINT (-73.904046 40.688764)","0.3035"
"E 149 St (6)","86 St (C,B)","373","158","POINT (-73.904098 40.812118)","POINT (-73.968916 40.785868)","0.39693333333"
"Queensboro Plaza (7,N,W)","20 Av (N)","461","75","POINT (-73.940202 40.750582)","POINT (-73.985026 40.61741)","0.2855"
"Northern Blvd (M,R)","77 St (6)","269","398","POINT (-73.906006 40.752885)","POINT (-73.959874 40.77362)","9.21508"
"145 St (A,C,B,D)","West Farms Sq-E Tremont Av (2,5)","151","427","POINT (-73.944216 40.824783)","POINT (-73.880049 40.840295)","0.5439"
"125 St (2,3)","Nostrand Av (3)","439","343","POINT (-73.945495 40.807754)","POINT (-73.950466 40.669847)","0.44435"
"80 St (A)","40 St-Lowery St (7)","190","459","POINT (-73.858992 40.679371)","POINT (-73.924016 40.743781)","0.2911"
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)","Bronx Park East (2,5)","611","425","POINT (-73.987581 40.755746)","POINT (-73.868457 40.848828)","0.932625"
"East 105 St (L)","Far Rockaway-Mott Av (A)","137","209","POINT (-73.899485 40.650573)","POINT (-73.755405 40.603995)","0.82826666667"
"Brook Av (6)","96 St (1,2,3)","376","310","POINT (-73.91924 40.807566)","POINT (-73.972323 40.793919)","0.5437"
"Freeman St (2,5)","Brighton Beach (B,Q)","429","55","POINT (-73.891865 40.829993)","POINT (-73.961376 40.577621)","0.2926"
"Union St (R)","Fulton St (G)","28","292","POINT (-73.98311 40.677316)","POINT (-73.975375 40.687119)","0.29"
"81 St-Museum of Natural History (C,B)","Grand Av-Newtown (M,R)","159","265","POINT (-73.972143 40.781433)","POINT (-73.877223 40.737015)","0.29825"
"28 St (R,W)","Woodhaven Blvd (M,R)","13","264","POINT (-73.988691 40.745494)","POINT (-73.869229 40.733106)","0.3026"
"75 St-Elderts Ln (J,Z)","Van Siclen Av (3)","85","351","POINT (-73.867139 40.691324)","POINT (-73.889395 40.665449)","0.29"
"77 St (R)","New Utrecht Av (N)/62 St (D)","37","615","POINT (-74.02551 40.629742)","POINT (-73.996624 40.625657)","1.2971"
"50 St (1)","23 St (6)","316","405","POINT (-73.983849 40.761728)","POINT (-73.986599 40.739864)","0.3415"
"80 St (A)","Parkside Av (Q)","190","43","POINT (-73.858992 40.679371)","POINT (-73.961495 40.655292)","0.4435"
"Grand Army Plaza (2,3)","238 St (1)","340","294","POINT (-73.971046 40.675235)","POINT (-73.90087 40.884667)","0.84"
"Prospect Park (B,Q,S)","Van Siclen Av (C)","42","186","POINT (-73.962246 40.661614)","POINT (-73.890358 40.67271)","0.28916666667"
"103 St-Corona Plaza (7)","President St-Medgar Evers College (2,5)","450","353","POINT (-73.8627 40.749865)","POINT (-73.950683 40.667883)","1.11325"
"Flushing-Main St (7)","Christopher St-Sheridan Sq (1)","447","323","POINT (-73.83003 40.7596)","POINT (-74.002906 40.733422)","6.90344"
"8 St-NYU (R,W)","18 Av (N)","16","74","POINT (-73.992629 40.730328)","POINT (-73.990414 40.620671)","1.006"
"Lorimer St (L)/Metropolitan Av (G)","Astoria Blvd (N,W)","629","2","POINT (-73.950847 40.713428)","POINT (-73.917843 40.770258)","0.3035"
"50 St (D)","Sutter Av (L)","61","134","POINT (-73.994791 40.63626)","POINT (-73.901975 40.669367)","0.3045"
"Prince St (R,W)","Grand Central-42 St (S,4,5,6,7)","17","610","POINT (-73.997702 40.724329)","POINT (-73.977359 40.751992)","2.65895"
"Kew Gardens-Union Tpke (E,F)","Morrison Av-Soundview (6)","259","368","POINT (-73.831008 40.714441)","POINT (-73.874516 40.829521)","0.2917"
"Nostrand Av (3)","72 St (1,2,3)","343","313","POINT (-73.950466 40.669847)","POINT (-73.98197 40.778453)","2.07934"
"Sheepshead Bay (B,Q)","Vernon Blvd-Jackson Av (7)","54","464","POINT (-73.954155 40.586896)","POINT (-73.953581 40.742626)","1.35054"
"Cortelyou Rd (Q)","South Ferry (1)/Whitehall St (R,W)","46","635","POINT (-73.963891 40.640927)","POINT (-74.013329 40.702578)","5.13102"
